date_local,site_num,co_mean,hap_mean,lead_mean,o2_mean,o3_mean,t_mean
2019-08-25,8001,0.23750000000000002,0.0,0.00834,8.529167,0.039175999999999996,81.375
2019-09-18,1103,0.435,0.00065,0.0073799999999999994,17.985713999999998,0.021615,71.72916699999999
2019-09-30,1103,0.4375,0.0,0.00722,17.7625,0.019941,63.566666999999995
2018-01-26,1602,0.5,2.8000000000000003,0.006,26.475,0.012118,54.1875
2019-12-23,1103,0.2,0.08,0.002,12.2125,0.012176,52.575
2019-12-29,1103,0.608333,0.0,0.006,20.933332999999998,0.014176,52.108332999999995
2019-03-22,8001,0.23424999999999999,1.3,0.00307,10.575000000000001,0.033,55.933333
2019-03-22,1002,0.23333299999999998,0.00087,0.00492,15.752174,0.022293999999999998,53.945833
2019-01-09,1103,0.72500000000000009,0.4,0.00783,26.425,0.010882,57.641667
2019-11-05,1103,0.854167,0.1,0.011000000000000001,34.408333,0.023353,66.104167
2018-02-19,1103,0.2,0.2,0.0094,4.216667,0.037353,52.141667
2019-04-15,8001,0.30416699999999997,0.00087,0.00505,14.920833,0.045058999999999995,60.933333
2019-06-02,1022,0.2,0.0,0.00065,1.47619,0.045429,64.083333
2019-03-04,1103,0.31779199999999996,0.022000000000000002,0.003,12.629166999999999,0.018000000000000002,56.791667
2018-06-19,8001,0.2,0.0,0.004,8.0625,0.046411999999999995,69.866666999999993
2019-07-20,0008,0.120833,0.45,0.0030099999999999997,4.0956519999999994,0.037471,78.429166999999993
2019-08-13,1103,0.3,0.004,0.019,13.329412,0.022917,72.079167
2019-04-03,0008,0.20021699999999998,0.152,0.0013499999999999999,18.208696,0.022059,58.087500000000006
2018-04-08,0008,0.168652,0.00065,0.00065,2.891304,0.026646999999999997,58.016667
2018-05-26,8001,0.21250000000000002,0.0,0.002,3.9375,0.034294,61.375
2019-09-18,1103,0.435,0.0,0.0073799999999999994,16.823809999999998,0.021615,71.72916699999999
2018-05-14,8001,0.23333299999999998,0.66,0.003,8.045833,0.038,62.654166999999994
2018-12-16,0005,0.20163599999999998,0.1,0.00242,6.027273,0.022588,56.833332999999996
